"Date","Reference","Category","Outcome","Type","Priority","Status","Score","Venue","Reported By","Assigned To","Severity","Area","Teams"
"01/01/2020 12:22","SEC001572","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/01/2020 17:41","SEC001560","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/01/2020 09:53","SEC001547","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"05/07/2024 15:18","DOB001532","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","High","DOB Entry - Mistake","-","Antharagange Main Road","Satish Kumar","Satish Kumar","-","-","-"
"05/07/2024 10:03","SEC001516","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/01/2020 16:20","SEC001502","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/01/2020 15:21","SEC001490","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/01/2020 11:20","SEC001485","Security & Crime","Violence","Verbal Abuse","Medium","In Progress","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Major","-","-"
"04/07/2020 09:41","SEC001484","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/07/2020 09:27","SEC001483","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/07/2020 09:16","SEC001482","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2020 20:39","SEC001481","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"03/07/2024 20:38","SEC001480","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:36","SEC001479","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:34","SEC001478","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:33","SEC001477","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:31","SEC001476","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:30","SEC001475","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:29","SEC001474","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:28","SEC001473","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:26","AA001472","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"03/07/2024 20:26","AA001471","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"03/07/2024 20:08","SEC001470","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"03/07/2024 20:02","AA001469","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"03/07/2024 19:56","AA001468","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"02/07/2024 12:32","SEC001465","Security & Crime","Violence","Assault","High","New (Reported/Submitted)","-","Mote Mangal Karyalay Road","Sumith Joshi","Aditya Sahay","Major","-","-"
"01/07/2024 22:08","DOB001464","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","home town","Sai Kumar","-","-","-","-"
"01/07/2024 14:02","SEC001463","Security & Crime","Violence","Verbal Abuse","Low","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","Vaishakh Pai","Critical","-","-"
"01/01/2020 13:53","SEC001462","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/07/2024 13:51","SEC001461","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:49","SEC001460","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:48","SEC001459","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:46","SEC001458","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:44","SEC001457","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:43","SEC001456","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:42","SEC001455","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:41","SEC001454","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 13:39","AA001453","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"01/07/2024 13:39","AA001452","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"01/07/2024 12:01","SEC001451","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 12:00","SEC001450","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:57","SEC001449","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:42","SEC001448","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Minor","-","-"
"01/07/2024 11:34","SEC001447","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"01/07/2024 12:32","SEC001446","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:30","SEC001445","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:29","SEC001444","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 12:27","SEC001443","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:25","SEC001442","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:24","SEC001441","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:23","SEC001440","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:22","SEC001439","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/07/2024 11:20","AA001438","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"01/07/2024 11:19","AA001437","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"28/06/2024 19:40","SEC001436","Security & Crime","Violence","Assault","High","New (Reported/Submitted)","-","Mote Mangal Karyalay Road","Sumith Joshi","Aditya Sahay","Major","-","-"
"28/06/2024 19:18","SEC001435","Security & Crime","Violence","Assault","High","New (Reported/Submitted)","-","31st Main Road","Aditya Sahay","Sai Kumar","Major","-","-"
"28/06/2024 10:56","SEC001434","Security & Crime","Violence","Assault","High","New (Reported/Submitted)","-","near nirmadevshi shala","Sumith Joshi","-","Major","-","-"
